latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.20061,75.59611,325.51,0.4,0.37,2024-01-27,808,N20,VIIRS,n,2,291.84,1.23,D,0
31.16894,75.77493,338.5,0.41,0.37,2024-01-27,808,N20,VIIRS,n,2,294.69,4.16,D,0
31.23508,76.42233,330.59,0.43,0.38,2024-01-27,808,N20,VIIRS,n,2,295.18,1.71,D,0
31.02717,75.73453,328.73,0.41,0.37,2024-01-27,808,N20,VIIRS,n,2,292.73,2.49,D,0
30.5957,76.10621,325.14,0.41,0.37,2024-01-27,808,N20,VIIRS,n,2,290.96,1.91,D,0
29.78408,73.55807,341.15,0.39,0.36,2024-01-27,808,N20,VIIRS,n,2,294.42,6.88,D,0
29.90947,74.95059,334.21,0.39,0.36,2024-01-27,808,N20,VIIRS,n,2,299.16,3.3,D,2
30.02868,76.8459,328.84,0.43,0.38,2024-01-27,808,N20,VIIRS,n,2,291.74,2.8,D,0
32.13547,76.50202,330.56,0.44,0.38,2024-01-27,809,N20,VIIRS,n,2,288.22,2.93,D,0
32.13893,76.50117,332.88,0.44,0.38,2024-01-27,809,N20,VIIRS,n,2,289.16,2.45,D,0
32.33229,75.23197,336.59,0.4,0.37,2024-01-27,809,N20,VIIRS,n,2,294.11,4.21,D,0
31.82167,75.48551,332.4,0.4,0.37,2024-01-27,809,N20,VIIRS,n,2,295.46,9.59,D,0
31.81412,75.43018,329.28,0.4,0.37,2024-01-27,809,N20,VIIRS,n,2,296.46,12.84,D,0
31.82028,75.42467,328.86,0.4,0.37,2024-01-27,809,N20,VIIRS,n,2,291.7,2.73,D,0
32.04422,76.80162,333.74,0.45,0.39,2024-01-27,809,N20,VIIRS,n,2,290.91,5.1,D,0
32.04361,76.79684,331.43,0.45,0.39,2024-01-27,809,N20,VIIRS,n,2,288.76,5.1,D,0
31.88494,74.67232,326.46,0.39,0.36,2024-01-27,809,N20,VIIRS,n,2,288.31,1.94,D,0
31.9201,75.43764,326.4,0.4,0.37,2024-01-27,809,N20,VIIRS,n,2,293.62,2.19,D,0
31.38032,76.25823,342.01,0.42,0.38,2024-01-27,809,N20,VIIRS,n,2,298.28,3.88,D,0
31.26579,75.25871,327.18,0.4,0.37,2024-01-27,809,N20,VIIRS,n,2,291.49,2.38,D,0
31.45342,75.88835,327.14,0.41,0.37,2024-01-27,809,N20,VIIRS,n,2,293.41,3.27,D,0
31.60356,76.65114,333.34,0.44,0.38,2024-01-27,809,N20,VIIRS,n,2,296.69,2.44,D,0
31.60099,76.15713,341.53,0.42,0.38,2024-01-27,809,N20,VIIRS,n,2,299.67,4.35,D,0
31.55922,75.68893,331.97,0.41,0.37,2024-01-27,809,N20,VIIRS,n,2,293.61,3.19,D,0
31.7323,76.67142,336.57,0.44,0.38,2024-01-27,809,N20,VIIRS,n,2,293.86,4.05,D,0
31.6521,75.27707,329.43,0.4,0.37,2024-01-27,809,N20,VIIRS,n,2,291.44,2.58,D,0
31.74316,75.52557,330.16,0.41,0.37,2024-01-27,809,N20,VIIRS,n,2,293.95,3.01,D,0
31.80005,75.51057,330.4,0.41,0.37,2024-01-27,809,N20,VIIRS,n,2,290.74,2.92,D,0
31.8009,75.51125,329.07,0.41,0.37,2024-01-27,809,N20,VIIRS,n,2,291.81,2.31,D,0
31.82302,75.54652,327.75,0.41,0.37,2024-01-27,809,N20,VIIRS,n,2,292.01,2.04,D,0
30.93928,75.60049,322.31,0.43,0.38,2024-01-27,2032,N20,VIIRS,n,2,274.75,1.99,N,0
30.93867,75.60497,306.67,0.43,0.38,2024-01-27,2032,N20,VIIRS,n,2,275.72,1.99,N,0
29.90829,74.94641,327.38,0.45,0.39,2024-01-27,2032,N20,VIIRS,n,2,255.99,8.39,N,2
31.34906,75.53146,301.76,0.44,0.38,2024-01-27,2032,N20,VIIRS,n,2,279.23,1.08,N,0
31.61795,74.37507,296.7,0.49,0.4,2024-01-27,2032,N20,VIIRS,n,2,273.93,0.79,N,2
31.91179,76.83054,299.19,0.4,0.37,2024-01-27,2032,N20,VIIRS,n,2,276.45,0.57,N,0
32.43772,75.12153,327.83,0.44,0.38,2024-01-28,750,N20,VIIRS,n,2,293.92,2.35,D,0
32.44545,75.18611,326.25,0.43,0.38,2024-01-28,750,N20,VIIRS,n,2,293.74,1.63,D,0
32.10376,75.5592,331.29,0.42,0.38,2024-01-28,750,N20,VIIRS,n,2,292.05,3.53,D,0
31.81638,75.61012,326.08,0.43,0.38,2024-01-28,750,N20,VIIRS,n,2,293.61,2.08,D,0
31.59135,76.58723,325.14,0.4,0.37,2024-01-28,750,N20,VIIRS,n,2,277.04,2.37,D,0
